Test Name,P-Value,Outcome
Frequency Test (Monobit),0.993334587,Random
Frequency Test within a Block,9.91E-12,Non-Random
Run Test,3.20E-94,Non-Random
Longest Run of Ones in a Block,3.81E-36,Non-Random
Binary Matrix Rank Test,2.57E-01,Random
Discrete Fourier Transform (Spectral) Test,6.14E-05,Non-Random
Non-Overlapping Template Matching Test,3.83E-26,Non-Random
Overlapping Template Matching Test,4.63E-13,Non-Random
Maurer's Universal Statistical Test,-1,Error
Linear Complexity Test,0.580749636,Random
Serial Test A,2.35E-17,Non-Random
Serial Test B,9.52E-01,Random
Approximate Entropy Test,8.31E-34,Non-Random
Cumulative Sums (Forward) Test,5.60E-01,Random
Cumulative Sums (Reverse) Test,5.53E-01,Random
Random Excursions Test State -4,2.05E-01,Random
Random Excursions Test State -3,7.68E-03,Non-Random
Random Excursions Test State -2,1.61E-03,Non-Random
Random Excursions Test State -1,1.78E-02,Random
Random Excursions Test State +1,3.98E-01,Random
Random Excursions Test State +2,4.02E-01,Random
Random Excursions Test State +3,1.52E-01,Random
Random Excursions Test State +4,4.76E-01,Random
Random Exursions Variant Test State -9,0.8054226319762702,Random
Random Exursions Variant Test State -8,0.8514119675601606,Random
Random Exursions Variant Test State -7,0.9198636665558916,Random
Random Exursions Variant Test State -6,0.9651053858186533,Random
Random Exursions Variant Test State -5,0.9037601762172061,Random
Random Exursions Variant Test State -4,0.6808478972151982,Random
Random Exursions Variant Test State -3,0.5164122683960384,Random
Random Exursions Variant Test State -2,0.31477678305963597,Random
Random Exursions Variant Test State -1,0.146793087308571,Random
Random Exursions Variant Test State +1,3.10E-01,Random
Random Exursions Variant Test State +2,7.06E-01,Random
Random Exursions Variant Test State +3,8.46E-01,Random
Random Exursions Variant Test State +4,9.56E-01,Random
Random Exursions Variant Test State +5,7.17E-01,Random
Random Exursions Variant Test State +6,8.10E-01,Random
Random Exursions Variant Test State +7,9.68E-01,Random
Random Exursions Variant Test State +8,9.55E-01,Random
Random Exursions Variant Test State +9,8.88E-01,Random
